Number,Year,Percentage,Repeated
27,2019,FEBRUARY,0.0021645021645021645,1.0
27,2019,JANUARY,0.0021645021645021645,1.0
28,2019,AUGUST,0.006493506493506494,3.0
28,2019,JUNE,0.0021645021645021645,1.0
28,2019,MAY,0.004329004329004329,2.0
28,2019,APRIL,0.004329004329004329,2.0
28,2019,FEBRUARY,0.0021645021645021645,1.0
28,2019,JANUARY,0.006493506493506494,3.0
29,2019,SEPTEMBER,0.004329004329004329,2.0
29,2019,AUGUST,0.006493506493506494,3.0
29,2019,JULY,0.0021645021645021645,1.0
29,2019,JUNE,0.0021645021645021645,1.0
29,2019,MAY,0.0021645021645021645,1.0
29,2019,MARCH,0.0021645021645021645,1.0
29,2019,FEBRUARY,0.0021645021645021645,1.0
30,2019,SEPTEMBER,0.004329004329004329,2.0
30,2019,AUGUST,0.0021645021645021645,1.0
30,2019,JULY,0.004329004329004329,2.0
30,2019,JUNE,0.0021645021645021645,1.0
30,2019,MARCH,0.004329004329004329,2.0
30,2019,FEBRUARY,0.0021645021645021645,1.0
31,2019,SEPTEMBER,0.0021645021645021645,1.0
31,2019,JULY,0.008658008658008658,4.0
31,2019,APRIL,0.0021645021645021645,1.0
31,2019,FEBRUARY,0.0021645021645021645,1.0
31,2019,JANUARY,0.0021645021645021645,1.0
32,2019,AUGUST,0.004329004329004329,2.0
32,2019,JUNE,0.0021645021645021645,1.0
32,2019,MAY,0.004329004329004329,2.0
32,2019,APRIL,0.006493506493506494,3.0
32,2019,MARCH,0.004329004329004329,2.0
33,2019,JULY,0.0021645021645021645,1.0
33,2019,JUNE,0.006493506493506494,3.0
33,2019,MAY,0.004329004329004329,2.0
33,2019,FEBRUARY,0.0021645021645021645,1.0
34,2019,AUGUST,0.0021645021645021645,1.0
34,2019,JULY,0.006493506493506494,3.0
34,2019,JUNE,0.0021645021645021645,1.0
34,2019,MAY,0.004329004329004329,2.0
34,2019,APRIL,0.010822510822510822,5.0
34,2019,MARCH,0.004329004329004329,2.0
34,2019,FEBRUARY,0.006493506493506494,3.0
35,2019,SEPTEMBER,0.0021645021645021645,1.0
35,2019,AUGUST,0.0021645021645021645,1.0
35,2019,MAY,0.004329004329004329,2.0
35,2019,MARCH,0.0021645021645021645,1.0
35,2019,FEBRUARY,0.004329004329004329,2.0
36,2019,JULY,0.004329004329004329,2.0
36,2019,JUNE,0.0021645021645021645,1.0
36,2019,APRIL,0.006493506493506494,3.0
36,2019,MARCH,0.004329004329004329,2.0
36,2019,JANUARY,0.0021645021645021645,1.0
37,2019,SEPTEMBER,0.006493506493506494,3.0
37,2019,JULY,0.004329004329004329,2.0
37,2019,JUNE,0.0021645021645021645,1.0
37,2019,MAY,0.0021645021645021645,1.0
37,2019,APRIL,0.004329004329004329,2.0
37,2019,MARCH,0.0021645021645021645,1.0
37,2019,FEBRUARY,0.0021645021645021645,1.0
38,2019,SEPTEMBER,0.0021645021645021645,1.0
38,2019,APRIL,0.0021645021645021645,1.0
38,2019,MARCH,0.0021645021645021645,1.0
38,2019,FEBRUARY,0.004329004329004329,2.0
38,2019,JANUARY,0.0021645021645021645,1.0
39,2019,SEPTEMBER,0.0021645021645021645,1.0
39,2019,AUGUST,0.0021645021645021645,1.0
39,2019,JULY,0.0021645021645021645,1.0
39,2019,JUNE,0.0021645021645021645,1.0
39,2019,MAY,0.0021645021645021645,1.0
39,2019,MARCH,0.004329004329004329,2.0
39,2019,FEBRUARY,0.0021645021645021645,1.0
39,2019,JANUARY,0.0021645021645021645,1.0
40,2019,AUGUST,0.004329004329004329,2.0
40,2019,JUNE,0.0021645021645021645,1.0
40,2019,APRIL,0.0021645021645021645,1.0
40,2019,MARCH,0.004329004329004329,2.0
40,2019,FEBRUARY,0.0021645021645021645,1.0
40,2019,JANUARY,0.004329004329004329,2.0
41,2019,SEPTEMBER,0.006493506493506494,3.0
41,2019,AUGUST,0.0021645021645021645,1.0
41,2019,JULY,0.004329004329004329,2.0
41,2019,JUNE,0.004329004329004329,2.0
41,2019,MAY,0.0021645021645021645,1.0
41,2019,APRIL,0.0021645021645021645,1.0
41,2019,FEBRUARY,0.004329004329004329,2.0
42,2019,SEPTEMBER,0.0021645021645021645,1.0
42,2019,JUNE,0.004329004329004329,2.0
42,2019,MAY,0.004329004329004329,2.0
42,2019,MARCH,0.0021645021645021645,1.0
42,2019,JANUARY,0.0021645021645021645,1.0
43,2019,SEPTEMBER,0.004329004329004329,2.0
43,2019,AUGUST,0.0021645021645021645,1.0
43,2019,JULY,0.008658008658008658,4.0
43,2019,JUNE,0.0021645021645021645,1.0
43,2019,APRIL,0.0021645021645021645,1.0
43,2019,FEBRUARY,0.0021645021645021645,1.0
43,2019,JANUARY,0.0021645021645021645,1.0
44,2019,AUGUST,0.004329004329004329,2.0
44,2019,JULY,0.0021645021645021645,1.0
44,2019,JUNE,0.0021645021645021645,1.0
44,2019,FEBRUARY,0.004329004329004329,2.0
44,2019,JANUARY,0.0021645021645021645,1.0
45,2019,JULY,0.004329004329004329,2.0
45,2019,JUNE,0.0021645021645021645,1.0
45,2019,MAY,0.006493506493506494,3.0
45,2019,APRIL,0.0021645021645021645,1.0
45,2019,MARCH,0.008658008658008658,4.0
45,2019,JANUARY,0.0021645021645021645,1.0
46,2019,SEPTEMBER,0.0021645021645021645,1.0
46,2019,AUGUST,0.0021645021645021645,1.0
46,2019,JULY,0.004329004329004329,2.0
46,2019,JUNE,0.0021645021645021645,1.0
46,2019,MAY,0.0021645021645021645,1.0
46,2019,APRIL,0.004329004329004329,2.0
46,2019,MARCH,0.004329004329004329,2.0
46,2019,FEBRUARY,0.004329004329004329,2.0
46,2019,JANUARY,0.004329004329004329,2.0
47,2019,SEPTEMBER,0.0021645021645021645,1.0
47,2019,AUGUST,0.004329004329004329,2.0
47,2019,JUNE,0.004329004329004329,2.0
47,2019,MAY,0.004329004329004329,2.0
47,2019,APRIL,0.006493506493506494,3.0
47,2019,FEBRUARY,0.0021645021645021645,1.0
47,2019,JANUARY,0.0021645021645021645,1.0
48,2019,AUGUST,0.004329004329004329,2.0
48,2019,JUNE,0.006493506493506494,3.0
48,2019,MARCH,0.0021645021645021645,1.0
49,2019,SEPTEMBER,0.006493506493506494,3.0
49,2019,AUGUST,0.0021645021645021645,1.0
49,2019,JUNE,0.0021645021645021645,1.0
49,2019,MAY,0.0021645021645021645,1.0
49,2019,MARCH,0.0021645021645021645,1.0
49,2019,FEBRUARY,0.0021645021645021645,1.0
49,2019,JANUARY,0.0021645021645021645,1.0
50,2019,SEPTEMBER,0.004329004329004329,2.0
50,2019,JULY,0.004329004329004329,2.0
50,2019,MAY,0.0021645021645021645,1.0
50,2019,JANUARY,0.004329004329004329,2.0
51,2019,SEPTEMBER,0.004329004329004329,2.0
51,2019,JULY,0.0021645021645021645,1.0
51,2019,JUNE,0.004329004329004329,2.0
51,2019,MAY,0.0021645021645021645,1.0
51,2019,APRIL,0.0021645021645021645,1.0
51,2019,MARCH,0.0021645021645021645,1.0
51,2019,FEBRUARY,0.0021645021645021645,1.0
51,2019,JANUARY,0.0021645021645021645,1.0
52,2019,SEPTEMBER,0.004329004329004329,2.0
52,2019,AUGUST,0.0021645021645021645,1.0
52,2019,JULY,0.006493506493506494,3.0
52,2019,MAY,0.006493506493506494,3.0
52,2019,APRIL,0.0021645021645021645,1.0
52,2019,JANUARY,0.004329004329004329,2.0
53,2019,SEPTEMBER,0.0021645021645021645,1.0
53,2019,JULY,0.004329004329004329,2.0
53,2019,JUNE,0.006493506493506494,3.0
53,2019,APRIL,0.004329004329004329,2.0
53,2019,JANUARY,0.006493506493506494,3.0
54,2019,AUGUST,0.004329004329004329,2.0
54,2019,JULY,0.0021645021645021645,1.0
54,2019,JUNE,0.0021645021645021645,1.0
54,2019,MAY,0.0021645021645021645,1.0
54,2019,MARCH,0.004329004329004329,2.0
54,2019,FEBRUARY,0.0021645021645021645,1.0
54,2019,JANUARY,0.0021645021645021645,1.0
55,2019,SEPTEMBER,0.0021645021645021645,1.0
55,2019,JULY,0.0021645021645021645,1.0
55,2019,JUNE,0.0021645021645021645,1.0
55,2019,MAY,0.0021645021645021645,1.0
55,2019,APRIL,0.004329004329004329,2.0
56,2019,SEPTEMBER,0.0021645021645021645,1.0
56,2019,JULY,0.004329004329004329,2.0
56,2019,MARCH,0.0021645021645021645,1.0
